id,mode,oracle_tick,center,lower,upper,attacker_edge,offset,overlap_factor
0,normal,-520364,-520360,-520560,-520160,4,0,1
1,chaos,-520364,-522090,-522290,-521890,1726,-1726,0
2,chaos,-520364,-519920,-520120,-519720,444,444,0
3,chaos,-520364,-515770,-515970,-515570,4594,4594,0
4,chaos,-520364,-520680,-520880,-520480,316,-316,0.2
5,chaos,-520364,-518250,-518450,-518050,2114,2114,0
6,chaos,-520364,-517510,-517710,-517310,2854,2854,0
7,chaos,-520364,-517570,-517770,-517370,2794,2794,0
8,chaos,-520364,-525330,-525530,-525130,4966,-4966,0
9,chaos,-520364,-517190,-517390,-516990,3174,3174,0
10,chaos,-520364,-522870,-523070,-522670,2506,-2506,0
11,chaos,-520364,-519520,-519720,-519320,844,844,0
12,chaos,-520364,-517700,-517900,-517500,2664,2664,0
13,chaos,-520364,-524500,-524700,-524300,4136,-4136,0
14,chaos,-520364,-519960,-520160,-519760,404,404,0
15,chaos,-520364,-515960,-516160,-515760,4404,4404,0
16,chaos,-520364,-517620,-517820,-517420,2744,2744,0
17,chaos,-520364,-519630,-519830,-519430,734,734,0
18,chaos,-520364,-522910,-523110,-522710,2546,-2546,0
19,chaos,-520364,-519740,-519940,-519540,624,624,0
20,chaos,-520364,-521160,-521360,-520960,796,-796,0
21,chaos,-520364,-517950,-518150,-517750,2414,2414,0
22,chaos,-520364,-516120,-516320,-515920,4244,4244,0
23,chaos,-520364,-524110,-524310,-523910,3746,-3746,0
24,chaos,-520364,-522090,-522290,-521890,1726,-1726,0
25,chaos,-520364,-516930,-517130,-516730,3434,3434,0
26,chaos,-520364,-518540,-518740,-518340,1824,1824,0
27,chaos,-520364,-524780,-524980,-524580,4416,-4416,0
28,chaos,-520364,-521290,-521490,-521090,926,-926,0
29,chaos,-520364,-523570,-523770,-523370,3206,-3206,0
30,chaos,-520364,-522040,-522240,-521840,1676,-1676,0
31,chaos,-520364,-517100,-517300,-516900,3264,3264,0
32,chaos,-520364,-520050,-520250,-519850,314,314,0.225
33,chaos,-520364,-515510,-515710,-515310,4854,4854,0
34,chaos,-520364,-524620,-524820,-524420,4256,-4256,0
35,chaos,-520364,-521190,-521390,-520990,826,-826,0
36,chaos,-520364,-522640,-522840,-522440,2276,-2276,0
37,chaos,-520364,-524910,-525110,-524710,4546,-4546,0
38,chaos,-520364,-525260,-525460,-525060,4896,-4896,0
39,chaos,-520364,-524140,-524340,-523940,3776,-3776,0
40,chaos,-520364,-517270,-517470,-517070,3094,3094,0
41,chaos,-520364,-518360,-518560,-518160,2004,2004,0
42,chaos,-520364,-520210,-520410,-520010,154,154,0.625
43,chaos,-520364,-518180,-518380,-517980,2184,2184,0
44,chaos,-520364,-521650,-521850,-521450,1286,-1286,0
45,chaos,-520364,-516850,-517050,-516650,3514,3514,0
46,chaos,-520364,-521420,-521620,-521220,1056,-1056,0
47,chaos,-520364,-517600,-517800,-517400,2764,2764,0
48,chaos,-520364,-516320,-516520,-516120,4044,4044,0
49,chaos,-520364,-516380,-516580,-516180,3984,3984,0
50,chaos,-520364,-522030,-522230,-521830,1666,-1666,0
51,chaos,-520364,-519920,-520120,-519720,444,444,0
52,chaos,-520364,-523330,-523530,-523130,2966,-2966,0
53,chaos,-520364,-520350,-520550,-520150,14,14,0.975
54,chaos,-520364,-523820,-524020,-523620,3456,-3456,0
55,chaos,-520364,-521310,-521510,-521110,946,-946,0
56,chaos,-520364,-523860,-524060,-523660,3496,-3496,0
57,chaos,-520364,-524870,-525070,-524670,4506,-4506,0
58,chaos,-520364,-524600,-524800,-524400,4236,-4236,0
59,chaos,-520364,-515680,-515880,-515480,4684,4684,0
60,chaos,-520364,-518560,-518760,-518360,1804,1804,0
61,chaos,-520364,-519270,-519470,-519070,1094,1094,0
62,chaos,-520364,-515400,-515600,-515200,4964,4964,0
63,chaos,-520364,-520830,-521030,-520630,466,-466,0
64,chaos,-520364,-519020,-519220,-518820,1344,1344,0
65,chaos,-520364,-517290,-517490,-517090,3074,3074,0
66,chaos,-520364,-517790,-517990,-517590,2574,2574,0
67,chaos,-520364,-524800,-525000,-524600,4436,-4436,0
68,chaos,-520364,-524930,-525130,-524730,4566,-4566,0
69,chaos,-520364,-519260,-519460,-519060,1104,1104,0
70,chaos,-520364,-517180,-517380,-516980,3184,3184,0
71,chaos,-520364,-516850,-517050,-516650,3514,3514,0
72,chaos,-520364,-518620,-518820,-518420,1744,1744,0
73,chaos,-520364,-519660,-519860,-519460,704,704,0
74,chaos,-520364,-516210,-516410,-516010,4154,4154,0
75,chaos,-520364,-524250,-524450,-524050,3886,-3886,0
76,chaos,-520364,-519500,-519700,-519300,864,864,0
77,chaos,-520364,-517670,-517870,-517470,2694,2694,0
78,chaos,-520364,-522260,-522460,-522060,1896,-1896,0
79,chaos,-520364,-523870,-524070,-523670,3506,-3506,0
80,chaos,-520364,-517120,-517320,-516920,3244,3244,0
81,chaos,-520364,-518770,-518970,-518570,1594,1594,0
82,chaos,-520364,-523840,-524040,-523640,3476,-3476,0
83,chaos,-520364,-524820,-525020,-524620,4456,-4456,0
84,chaos,-520364,-516350,-516550,-516150,4014,4014,0
85,chaos,-520364,-519810,-520010,-519610,554,554,0
86,chaos,-520364,-519990,-520190,-519790,374,374,0.075
87,chaos,-520364,-519040,-519240,-518840,1324,1324,0
88,chaos,-520364,-520250,-520450,-520050,114,114,0.725
89,chaos,-520364,-519080,-519280,-518880,1284,1284,0
90,chaos,-520364,-522980,-523180,-522780,2616,-2616,0
91,chaos,-520364,-520910,-521110,-520710,546,-546,0
92,chaos,-520364,-518820,-519020,-518620,1544,1544,0
93,chaos,-520364,-516760,-516960,-516560,3604,3604,0
94,chaos,-520364,-521200,-521400,-521000,836,-836,0
95,chaos,-520364,-515790,-515990,-515590,4574,4574,0
96,chaos,-520364,-516850,-517050,-516650,3514,3514,0
97,chaos,-520364,-518290,-518490,-518090,2074,2074,0
98,chaos,-520364,-523860,-524060,-523660,3496,-3496,0
99,chaos,-520364,-521960,-522160,-521760,1596,-1596,0
100,chaos,-520364,-518180,-518380,-517980,2184,2184,0
101,chaos,-520364,-517660,-517860,-517460,2704,2704,0
102,chaos,-520364,-517700,-517900,-517500,2664,2664,0
103,chaos,-520364,-519820,-520020,-519620,544,544,0
104,chaos,-520364,-521600,-521800,-521400,1236,-1236,0
105,chaos,-520364,-515830,-516030,-515630,4534,4534,0
106,chaos,-520364,-521030,-521230,-520830,666,-666,0
107,chaos,-520364,-523550,-523750,-523350,3186,-3186,0
108,chaos,-520364,-522060,-522260,-521860,1696,-1696,0
109,chaos,-520364,-524260,-524460,-524060,3896,-3896,0
110,chaos,-520364,-519720,-519920,-519520,644,644,0
111,chaos,-520364,-517570,-517770,-517370,2794,2794,0
112,chaos,-520364,-521140,-521340,-520940,776,-776,0
113,chaos,-520364,-518650,-518850,-518450,1714,1714,0
114,chaos,-520364,-523860,-524060,-523660,3496,-3496,0
115,chaos,-520364,-523950,-524150,-523750,3586,-3586,0
116,chaos,-520364,-516490,-516690,-516290,3874,3874,0
